id;ticket_id;timestamp;user_id;action;fromValue;toValue;comment
h-tk1-1;tk1;2026-01-15T09:00:00Z;u4;CREATED;;;Ticket créé
h-tk1-2;tk1;2026-01-15T10:00:00.000Z;u2;ASSIGNED;;u3;
h-tk1-3;tk1;2026-01-16T09:00:00.000Z;u3;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk2-1;tk2;2026-01-18T11:00:00Z;u4;CREATED;;;Ticket créé
h-tk2-2;tk2;2026-01-18T12:00:00.000Z;u2;ASSIGNED;;u5;
h-tk2-3;tk2;2026-01-19T11:00:00.000Z;u5;STATUS_CHANGE;OPEN;WAITING_FEEDBACK;
h-tk3-1;tk3;2026-01-20T10:00:00Z;u4;CREATED;;;Ticket créé
h-tk3-2;tk3;2026-01-20T11:00:00.000Z;u2;ASSIGNED;;u3;
h-tk3-3;tk3;2026-01-21T10:00:00.000Z;u3;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk4-1;tk4;2026-02-01T08:00:00Z;u4;CREATED;;;Ticket créé
h-tk4-2;tk4;2026-02-01T09:00:00.000Z;u2;ASSIGNED;;u3;
h-tk5-1;tk5;2026-02-05T14:00:00Z;u4;CREATED;;;Ticket créé
h-tk5-2;tk5;2026-02-05T15:00:00.000Z;u2;ASSIGNED;;u5;
h-tk5-3;tk5;2026-02-06T14:00:00.000Z;u5;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk6-1;tk6;2026-01-10T08:00:00Z;u2;CREATED;;;Ticket créé
h-tk6-2;tk6;2026-01-10T09:00:00.000Z;u2;ASSIGNED;;u3;
h-tk6-3;tk6;2026-01-11T08:00:00.000Z;u3;STATUS_CHANGE;OPEN;RESOLVED;
h-tk6-4;tk6;2026-01-20T08:00:00.000Z;u3;STATUS_CHANGE;IN_PROGRESS;RESOLVED;
h-tk7-1;tk7;2026-01-22T09:00:00Z;u4;CREATED;;;Ticket créé
h-tk7-2;tk7;2026-01-22T10:00:00.000Z;u2;ASSIGNED;;u3;
h-tk7-3;tk7;2026-01-23T09:00:00.000Z;u3;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk8-1;tk8;2026-01-25T10:00:00Z;u2;CREATED;;;Ticket créé
h-tk8-2;tk8;2026-01-25T11:00:00.000Z;u2;ASSIGNED;;u5;
h-tk9-1;tk9;2026-01-28T09:00:00Z;u4;CREATED;;;Ticket créé
h-tk9-2;tk9;2026-01-28T10:00:00.000Z;u2;ASSIGNED;;u3;
h-tk9-3;tk9;2026-01-29T09:00:00.000Z;u3;STATUS_CHANGE;OPEN;RESOLVED;
h-tk9-4;tk9;2026-02-07T09:00:00.000Z;u3;STATUS_CHANGE;IN_PROGRESS;RESOLVED;
h-tk10-1;tk10;2026-02-03T11:00:00Z;u4;CREATED;;;Ticket créé
h-tk10-2;tk10;2026-02-03T12:00:00.000Z;u2;ASSIGNED;;u5;
h-tk10-3;tk10;2026-02-04T11:00:00.000Z;u5;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk11-1;tk11;2026-02-05T08:00:00Z;u2;CREATED;;;Ticket créé
h-tk11-2;tk11;2026-02-05T09:00:00.000Z;u2;ASSIGNED;;u5;
h-tk11-3;tk11;2026-02-06T08:00:00.000Z;u5;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk12-1;tk12;2026-02-07T10:00:00Z;u2;CREATED;;;Ticket créé
h-tk12-2;tk12;2026-02-07T11:00:00.000Z;u2;ASSIGNED;;u3;
h-tk12-3;tk12;2026-02-08T10:00:00.000Z;u3;STATUS_CHANGE;OPEN;WAITING_FEEDBACK;
h-tk13-1;tk13;2026-02-10T09:00:00Z;u4;CREATED;;;Ticket créé
h-tk13-2;tk13;2026-02-10T10:00:00.000Z;u2;ASSIGNED;;u5;
h-tk14-1;tk14;2026-02-01T10:00:00Z;u4;CREATED;;;Ticket créé
h-tk14-2;tk14;2026-02-01T11:00:00.000Z;u2;ASSIGNED;;u3;
